"Event Type : Full Waveform"
"Serial Number : UM16121"
"Version :  V 10-89 Micromate ISEE"
"File Name : UM16121_20260626154050(1).IDFW"
"Event Time : 15:40:50"
"Event Date : June 26, 2026"
"Trigger : Vert"
"Geo Trigger Level : 1.000 mm/s"
"Pre-trigger Length : -0.500 sec"
"Record Time : 5.158 sec"
"Record Stop Mode : Auto"
"Auto Window : 5 sec"
"Sample Rate : 4096 sps"
"Battery Level : 3.7 Volts"
"Calibration : December 20, 2019 by Instantel"
"Units : mm/s and "
"Operator : Operator"
"Setup : fac.MMB"
"Location: : "
"Client: : "
"User Name: : "
"General: : "
"Geo Range : 254.0 mm/s"
"Tran PPV : 5.833 mm/s"
"Vert PPV : 12.44 mm/s"
"Long PPV : 15.29 mm/s"
"Tran ZC Freq : 24.1 Hz"
"Vert ZC Freq : 20.9 Hz"
"Long ZC Freq : 34.7 Hz"
"Tran Time of Peak : 0.031 sec"
"Vert Time of Peak : 0.044 sec"
"Long Time of Peak : 0.023 sec"
"Tran Peak Acceleration : 0.234 g"
"Vert Peak Acceleration : 0.250 g"
"Long Peak Acceleration : 0.579 g"
"Tran Peak Displacement : 0.037 mm"
"Vert Peak Displacement : 0.082 mm"
"Long Peak Displacement : 0.068 mm"
"Peak Vector Sum : 15.92 mm/s"
"Peak Vector Sum Time : 0.023 sec"
"Tran  Test Freq : 7.3 Hz"
"Tran  Test Ratio : 4.3"
"Tran  Test Results : Passed"
"Vert  Test Freq : 7.3 Hz"
"Vert  Test Ratio : 4.4"
"Vert  Test Results : Passed"
"Long  Test Freq : 7.3 Hz"
"Long  Test Ratio : 4.5"
"Long  Test Results : Passed"
"PC SW Version : V 10.74"

   Tran   	   Vert   	   Long   
-0.032    	-0.110    	0.055     
-0.016    	-0.110    	0.071     
-0.032    	-0.118    	0.063     
-0.016    	-0.102    	0.047     
-0.016    	-0.110    	0.039     
-0.016    	-0.110    	0.039     
-0.008    	-0.118    	0.032     
-0.016    	-0.118    	0.032     
-0.016    	-0.110    	0.032     
-0.016    	-0.126    	0.024     
-0.016    	-0.126    	0.024     
-0.008    	-0.126    	0.039     
-0.008    	-0.126    	0.032     
-0.008    	-0.126    	0.039     
-0.016    	-0.142    	0.032     
-0.016    	-0.126    	0.032     
-0.016    	-0.126    	0.016     
-0.016    	-0.118    	0.024     
-0.016    	-0.126    	0.032     
-0.016    	-0.142    	0.024     
-0.016    	-0.126    	0.032     
-0.024    	-0.126    	0.032     
-0.024    	-0.134    	0.032     
-0.039    	-0.126    	0.039     
-0.024    	-0.118    	0.024     
-0.024    	-0.118    	0.039     
-0.024    	-0.087    	0.047     
-0.039    	-0.110    	0.024     
-0.032    	-0.102    	0.047     
-0.032    	-0.110    	0.047     
-0.024    	-0.118    	0.032     
-0.016    	-0.110    	0.047     
-0.039    	-0.110    	0.047     
-0.032    	-0.126    	0.032     
-0.016    	-0.102    	0.039     
-0.016    	-0.118    	0.039     
-0.024    	-0.102    	0.039     
-0.016    	-0.110    	0.024     
-0.024    	-0.118    	0.032     
-0.008    	-0.110    	0.032     
-0.016    	-0.095    	0.032     
-0.008    	-0.102    	0.032     
-0.008    	-0.110    	0.047     
-0.008    	-0.110    	0.039     
-0.024    	-0.118    	0.032     
-0.032    	-0.118    	0.024     
-0.032    	-0.110    	0.008     
-0.008    	-0.118    	0.024     
-0.016    	-0.118    	0.024     
-0.008    	-0.110    	0.024     
-0.024    	-0.126    	0.024     
-0.016    	-0.102    	0.008     
-0.024    	-0.110    	0.008     
-0.016    	-0.126    	0.024     
-0.032    	-0.102    	0.008     
-0.039    	-0.110    	0.024     
-0.024    	-0.110    	0.016     
-0.016    	-0.102    	0.032     
-0.008    	-0.102    	0.032     
-0.032    	-0.118    	0.024     
-0.024    	-0.118    	0.024     
-0.024    	-0.110    	0.039     
-0.024    	-0.118    	0.032     
-0.032    	-0.126    	0.032     
-0.032    	-0.126    	0.024     
-0.016    	-0.126    	0.047     
-0.032    	-0.134    	0.032     
-0.032    	-0.126    	0.047     
-0.024    	-0.126    	0.039     
-0.024    	-0.126    	0.039     
-0.016    	-0.118    	0.039     
-0.016    	-0.126    	0.032     
-0.016    	-0.126    	0.024     
-0.016    	-0.126    	0.032     
-0.024    	-0.118    	0.039     
-0.024    	-0.126    	0.024     
-0.024    	-0.118    	0.039     
-0.008    	-0.118    	0.039     
-0.032    	-0.126    	0.032     
-0.024    	-0.118    	0.032     
-0.024    	-0.110    	0.032     
-0.024    	-0.110    	0.024     
-0.032    	-0.118    	0.024     
-0.024    	-0.110    	0.024     
-0.024    	-0.110    	0.024     
-0.016    	-0.095    	0.024     
-0.008    	-0.095    	0.024     
-0.016    	-0.110    	0.016     
-0.016    	-0.118    	0.024     
-0.008    	-0.126    	0.032     
-0.024    	-0.118    	0.024     
-0.016    	-0.150    	0.024     
-0.024    	-0.118    	0.032     
-0.016    	-0.110    	0.039     
-0.008    	-0.134    	0.032     
-0.016    	-0.110    	0.039     
-0.016    	-0.118    	0.024     
-0.024    	-0.095    	0.047     
-0.024    	-0.110    	0.024     
-0.016    	-0.118    	0.024     
-0.024    	-0.118    	0.016     
-0.016    	-0.118    	0.032     
-0.024    	-0.110    	0.032     
-0.016    	-0.134    	0.032     
-0.024    	-0.118    	0.032     
-0.008    	-0.118    	0.039     
-0.008    	-0.110    	0.032     
-0.008    	-0.110    	0.032     
-0.008    	-0.118    	0.032     
-0.008    	-0.126    	0.039     
-0.039    	-0.126    	0.039     
-0.024    	-0.134    	0.016     
-0.016    	-0.118    	0.032     
-0.032    	-0.134    	0.016     
-0.016    	-0.134    	0.016     
-0.032    	-0.110    	0.008     
-0.008    	-0.118    	0.024     
-0.024    	-0.118    	0.024     
-0.016    	-0.126    	0.024     
-0.032    	-0.134    	0.032     
-0.016    	-0.110    	0.024     
-0.032    	-0.126    	0.016     
-0.032    	-0.102    	0.024     
-0.024    	-0.126    	0.024     
-0.024    	-0.118    	0.008     
-0.008    	-0.126    	0.016     
-0.008    	-0.118    	0.032     
-0.008    	-0.110    	0.024     
-0.016    	-0.126    	0.032     
-0.008    	-0.118    	0.024     
-0.008    	-0.110    	0.024     
-0.016    	-0.118    	0.016     
-0.016    	-0.118    	0.024     
-0.008    	-0.126    	0.024     
0.000     	-0.118    	0.016     
0.000     	-0.118    	0.016     
-0.008    	-0.095    	0.024     
-0.008    	-0.118    	0.016     
-0.016    	-0.126    	0.024     
-0.024    	-0.110    	0.008     
-0.016    	-0.095    	0.024     
-0.008    	-0.118    	0.039     
-0.016    	-0.118    	0.039     
-0.008    	-0.110    	0.039     
-0.008    	-0.118    	0.024     
-0.016    	-0.126    	0.024     
-0.008    	-0.126    	0.032     
-0.008    	-0.110    	0.032     
-0.016    	-0.118    	0.032     
-0.024    	-0.134    	0.039     
-0.008    	-0.110    	0.047     
-0.016    	-0.102    	0.032     
-0.032    	-0.102    	0.047     
-0.032    	-0.102    	0.032     
-0.039    	-0.095    	0.039     
-0.016    	-0.095    	0.039     
-0.008    	-0.110    	0.016     
-0.016    	-0.126    	0.024     
-0.024    	-0.126    	0.024     
-0.008    	-0.134    	0.024     
-0.032    	-0.126    	0.024     
-0.008    	-0.118    	0.016     
-0.016    	-0.134    	0.024     
-0.016    	-0.110    	0.047     
-0.016    	-0.110    	0.039     
-0.016    	-0.110    	0.032     
-0.024    	-0.095    	0.024     
0.000     	-0.095    	0.039     
-0.008    	-0.102    	0.039     
-0.008    	-0.110    	0.039     
-0.008    	-0.118    	0.039     
-0.008    	-0.134    	0.024     
-0.024    	-0.134    	0.047     
-0.016    	-0.134    	0.039     
-0.008    	-0.110    	0.016     
-0.016    	-0.126    	0.032     
-0.008    	-0.126    	0.024     
